Date,Open,High,Low,Close,Adj Close,Volume
2008-04-09,109.320000,109.709999,109.220001,109.620003,90.112823,73800
2008-04-10,109.669998,109.739998,109.260002,109.370003,89.907372,41500
2008-04-11,109.690002,109.809998,109.639999,109.750000,90.219757,31200
2008-04-14,109.669998,109.849998,109.570000,109.599998,90.096413,54700
2008-04-15,109.400002,109.529999,109.220001,109.269997,89.825142,26800
2008-04-16,109.190002,109.260002,108.570000,108.650002,89.315491,91200
2008-04-17,108.620003,108.750000,108.190002,108.440002,89.142838,74900
2008-04-18,107.970001,108.250000,107.610001,108.230003,88.970192,199300
2008-04-21,108.099998,108.290001,107.940002,108.129997,88.888039,89700
2008-04-22,108.019997,108.209999,108.000000,108.169998,88.920883,68300
2008-04-23,108.150002,108.180000,107.959999,108.000000,88.781189,30700
2008-04-24,107.709999,107.790001,107.279999,107.440002,88.320816,114400
2008-04-25,107.320000,107.470001,107.160004,107.230003,88.148155,95900
2008-04-28,107.309998,107.570000,107.309998,107.480003,88.353729,22300
2008-04-29,107.629997,107.790001,107.519997,107.669998,88.509872,100200
2008-04-30,107.599998,107.919998,107.360001,107.839996,88.649666,102900
2008-05-01,107.900002,107.930000,107.360001,107.360001,88.475739,184800
2008-05-02,106.959999,107.220001,106.910004,106.980003,88.162575,151300
2008-05-05,107.190002,107.269997,106.730003,107.150002,88.302658,89600
2008-05-06,107.400002,107.480003,107.059998,107.070000,88.236801,83200
2008-05-07,106.980003,107.410004,106.980003,107.370003,88.483986,46500
2008-05-08,107.500000,107.870003,107.470001,107.870003,88.896034,17400
2008-05-09,108.000000,108.070000,107.830002,107.889999,88.912491,66100
2008-05-12,107.809998,108.019997,107.699997,107.699997,88.755920,21600
2008-05-13,107.300003,107.360001,107.000000,107.019997,88.195572,51100
2008-05-14,107.239998,107.239998,106.639999,106.879997,88.080162,46000
2008-05-15,106.889999,107.360001,106.889999,107.360001,88.475739,173100
2008-05-16,107.120003,107.550003,107.120003,107.180000,88.327415,31300
2008-05-19,107.309998,107.459999,107.099998,107.430000,88.533401,23600
2008-05-20,107.540001,107.720001,107.500000,107.650002,88.714729,85600
2008-05-21,107.449997,107.629997,107.339996,107.440002,88.541679,60400
2008-05-22,107.040001,107.040001,106.639999,106.820000,88.030739,90700
2008-05-23,107.040001,107.269997,107.010002,107.269997,88.401581,52900
2008-05-27,106.860001,107.080002,106.769997,106.800003,88.014297,92400
2008-05-28,106.610001,106.650002,106.279999,106.290001,87.593979,63100
2008-05-29,106.070000,106.150002,105.760002,106.040001,87.387917,113500
2008-05-30,106.349998,106.400002,106.230003,106.250000,87.560966,52700
2008-06-02,107.209999,107.209999,103.470001,106.440002,87.951836,161200
2008-06-03,106.400002,107.120003,106.320000,106.989998,88.406326,660900
2008-06-04,107.150002,107.150002,106.720001,106.790001,88.241020,338900
2008-06-05,106.510002,106.669998,106.389999,106.389999,87.910469,98600
2008-06-06,106.739998,107.180000,106.739998,107.070000,88.472450,33600
2008-06-09,106.470001,106.620003,106.139999,106.199997,87.753502,60300
2008-06-10,105.940002,105.940002,105.500000,105.559998,87.224709,158500
2008-06-11,105.879997,106.139999,105.599998,105.889999,87.497345,21300
2008-06-12,105.389999,105.459999,104.919998,104.940002,86.712364,45400
2008-06-13,105.059998,105.339996,104.790001,104.830002,86.621498,235900
2008-06-16,105.040001,105.040001,104.790001,104.800003,86.596687,36500
2008-06-17,105.050003,105.250000,104.930000,105.239998,86.960312,37200
2008-06-18,105.389999,105.639999,105.339996,105.570000,87.232933,31200
2008-06-19,105.320000,105.440002,105.120003,105.120003,86.861137,25900
2008-06-20,105.550003,105.680000,105.430000,105.519997,87.191612,12200
2008-06-23,105.559998,105.580002,105.290001,105.379997,87.075943,48400
2008-06-24,105.580002,105.919998,105.580002,105.760002,87.389954,62600
2008-06-25,105.790001,105.900002,105.470001,105.839996,87.456062,118100
2008-06-26,106.250000,106.430000,106.099998,106.400002,87.918816,78400
2008-06-27,106.660004,106.769997,106.570000,106.699997,88.166641,24500
2008-06-30,106.550003,106.800003,106.540001,106.750000,88.207939,16300
2008-07-01,106.900002,106.900002,106.339996,106.360001,88.114357,89500
2008-07-02,106.500000,106.680000,106.410004,106.610001,88.321480,210300
2008-07-03,106.589996,106.830002,106.550003,106.779999,88.462334,186600
2008-07-07,106.750000,107.290001,106.680000,107.040001,88.677742,77500
2008-07-08,106.980003,107.250000,106.980003,107.120003,88.743980,14600
2008-07-09,106.989998,107.599998,106.989998,107.570000,89.116806,23800
2008-07-10,107.480003,107.629997,107.379997,107.529999,89.083664,27300
2008-07-11,107.430000,107.430000,106.680000,106.779999,88.462334,28200
2008-07-14,106.860001,107.360001,106.760002,107.220001,88.826805,38600
2008-07-15,107.440002,107.879997,107.400002,107.570000,89.116806,267300
2008-07-16,107.449997,107.529999,107.099998,107.099998,88.727440,154400
2008-07-17,107.040001,107.139999,106.480003,106.650002,88.354630,62300
2008-07-18,106.690002,106.830002,106.250000,106.290001,88.056374,115400
2008-07-21,106.269997,106.430000,106.099998,106.410004,88.155800,29600
2008-07-22,106.389999,106.389999,106.029999,106.150002,87.940407,18200
2008-07-23,105.959999,106.050003,105.750000,106.040001,87.849251,56400
2008-07-24,106.139999,106.730003,106.110001,106.709999,88.404312,92000
2008-07-25,106.580002,106.730003,106.309998,106.400002,88.147530,585600
2008-07-28,106.730003,106.919998,106.660004,106.879997,88.545113,77000
2008-07-29,106.720001,106.720001,106.489998,106.580002,88.296654,43100
2008-07-30,106.459999,106.790001,106.389999,106.720001,88.412590,88500
2008-07-31,107.180000,107.300003,107.059998,107.239998,88.843376,25000
2008-08-01,106.930000,107.120003,106.930000,107.089996,88.941437,24500
